PlayerID,Player_name,TeamID,Position,Age
165,Jaxson Hayes,NOP,C,22
166,Khem Birch,TOR,C,30
167,Bennedict Mathurin,IND,SG,20
168,Bruce Brown,DEN,SF,26
169,Caleb Martin,MIA,SF,27
170,Joe Ingles,MIL,SF,35
171,Onyeka Okongwu,ATL,C,22
172,Josh Giddey,OKC,PF,20
173,Rui Hachimura,WAS,PF,24
174,Rudy Gay,UTA,PF,36
175,Jevon Carter,MIL,PG,27
176,Shaedon Sharpe,POR,SG,19
177,Cameron Payne,PHO,PG,28
178,Justin Holiday,ATL,SF,33
179,Cam Reddish,POR,SF,23
180,Cameron Johnson,PHO,PF,26
181,Ricky Rubio,CLE,PG,32
182,Killian Hayes,DET,PG,21
183,Jonathan Kuminga,GSW,PF,20
184,Pat Connaughton,MIL,SF,30
185,Tyler Herro,MIA,SG,23
186,Romeo Langford,SAS,SG,23
187,Dyson Daniels,NOP,PG,19
188,JaVale McGee,DAL,C,35
189,Goga Bitadze,IND,C,23
190,Obi Toppin,NYK,PF,24
191,Franz Wagner,ORL,SF,21
192,Kendrick Nunn,WAS,SG,27
193,Hamidou Diallo,DET,SF,24
194,Cory Joseph,DET,PG,31
195,Garrett Temple,NOP,SG,36
196,Torrey Craig,PHO,PF,32
197,Jeremy Sochan,SAS,PF,19
198,Nickeil Alexander-Walker,UTA,SG,24
199,Furkan Korkmaz,PHI,SG,25
200,Deni Avdija,WAS,SF,22
201,Davion Mitchell,SAC,PG,24
202,Johnny Davis,WAS,SG,20
203,Ty Jerome,GSW,SG,25
204,Jalen Smith,IND,C,22
205,Ziaire Williams,MEM,SF,21
206,Ousmane Dieng,OKC,PF,19
207,Jeff Green,DEN,PF,36
208,Donte DiVincenzo,GSW,SG,26
209,Devin Vassell,SAS,SG,22
210,Matisse Thybulle,POR,SF-SG,25
211,Jarred Vanderbilt,UTA,PF,23
212,James Bouknight,CHO,SG,22
213,Brandon Clarke,MEM,PF,26
214,Jalen Williams,OKC,SG,21
215,Grant Williams,BOS,PF,24
216,Darius Bazley,PHO,C,22
217,Tyrese Haliburton,IND,PG,22
218,Nassir Little,POR,SF,22
219,Jalen Duren,DET,C,19
220,Gorgui Dieng,SAS,C,33
221,Justise Winslow,POR,PF,26
222,Dylan Windler,CLE,SF,26
223,Stanley Johnson,SAS,SF,26
224,George Hill,IND,PG-SG,36
225,Terence Davis,SAC,SG,25
226,Chris Duarte,IND,SF,25
227,Alex Len,SAC,C,29
228,Ochai Agbaji,UTA,SG,22
229,Jordan Poole,GSW,PG,23
230,Keldon Johnson,SAS,SF,23
231,James Johnson,IND,PF,35
232,Aaron Nesmith,IND,SF,23
233,Moses Moody,GSW,SG,20
234,Mark Williams,CHO,C,21
235,Cole Anthony,ORL,PG,22
236,Corey Kispert,WAS,SF,23
237,AJ Griffin,ATL,SF,19
238,Mike Muscala,OKC,C,31
239,Georges Niang,PHI,PF,29
240,Isaiah Stewart,DET,C,21
241,Chuma Okeke,ORL,SF,24
242,Amir Coffey,LAC,SF,25
243,Tari Eason,HOU,PF,21
244,Aleksej Pokusevski,OKC,PF,21
245,Simone Fontecchio,UTA,SF,27
246,Andre Drummond,CHI,C,29
247,Dalen Terry,CHI,SG,20
248,Sterling Brown,LAL,SF,27
249,Josh Green,DAL,SG,22
250,Jake LaRavia,MEM,PF,21
251,Tre Mann,OKC,PG,21
252,Kevin Knox,POR,SF-PF,23
253,Saddiq Bey,ATL,SF,23
254,Malaki Branham,SAS,SG,19
255,Joe Wieskamp,TOR,SF,23
256,Kai Jones,CHO,C,22
257,Blake Griffin,BOS,C,33
258,Robin Lopez,CLE,C,34
259,Markieff Morris,DAL,PF,33
260,Andre Iguodala,GSW,PF,39
261,Serge Ibaka,MIL,C,33
262,Udonis Haslem,MIA,C,42
263,Wesley Matthews,MIL,SF,36
264,Austin Rivers,MIN,SG,30
265,Bismack Biyombo,PHO,C,30
266,Taj Gibson,WAS,C,37
267,Precious Achiuwa,TOR,C,23
268,Christian Braun,DEN,SG,21
269,Jordan Nwora,IND,SF,24
270,Jalen Johnson,ATL,SF,21
271,Tyrese Maxey,PHI,SG,22
272,Bruno Fernando,ATL,C,24
273,Walker Kessler,UTA,C,21
274,Keon Johnson,POR,SG,20
275,Charles Bassey,SAS,C,22
276,Matthew Dellavedova,SAC,PG,32
277,Trey Lyles,SAC,PF,27
278,Zeke Nnaji,DEN,PF,22
279,David Roddy,MEM,PF,21
280,Isaiah Jackson,IND,C,21
281,MarJon Beauchamp,MIL,SF,22
282,Usman Garuba,HOU,C,20
283,Raul Neto,CLE,PG,30
284,Frank Kaminsky,ATL,C,29
285,Montrezl Harrell,PHI,C,29
286,Blake Wesley,SAS,SG,19
287,Josh Christopher,HOU,SG,21
288,Isaiah Roby,SAS,PF,24
289,Lindy Waters III,OKC,SG,25
290,Immanuel Quickley,NYK,SG,23
291,John Konchar,MEM,SF,26
292,Rodney McGruder,DET,SG,31
293,Bryn Forbes,MIN,SG,29
294,Damian Jones,UTA,C,27
295,Quentin Grimes,NYK,SG,22
296,Saben Lee,PHO,PG,23
297,Andrew Nembhard,IND,SG,23
298,Payton Pritchard,BOS,PG,25
299,Bones Hyland,LAC,PG,22
300,Bol Bol,ORL,PF,23
301,Peyton Watson,DEN,SG,20
302,Udoka Azubuike,UTA,C,23
303,Jaden McDaniels,MIN,SF,22
304,Jordan McLaughlin,MIN,PG,26
305,Malachi Flynn,TOR,PG,24
306,Cam Thomas,BRK,SG,21
307,Luke Kornet,BOS,C,27
308,Damion Lee,PHO,SG,30
309,Juan Toscano-Anderson,UTA,SF,29
310,Desmond Bane,MEM,SG,24
311,Jaden Springer,PHI,SG,20
312,Day'Ron Sharpe,BRK,C,21
313,Tony Bradley,CHI,C,25
314,Frank Ntilikina,DAL,SG,24
315,Garrison Mathews,ATL,SG,26
316,Jaylin Williams,OKC,C,20
317,Jeremiah Robinson-Earl,OKC,PF,22
318,Kenrich Williams,OKC,PF,28
319,Caleb Houstan,ORL,SF,20
320,Shake Milton,PHI,SG,26
321,Aaron Holiday,ATL,PG,26
322,Yuta Watanabe,BRK,SF,28
323,Edmond Sumner,BRK,SG,27
324,Theo Pinson,DAL,SG,27
325,Thomas Bryant,LAL,C,25
326,Josh Okogie,PHO,SG,24
327,Drew Eubanks,POR,C,25
328,Dean Wade,CLE,PF,26
329,Terance Mann,LAC,SG,26
330,Jaylen Nowell,MIN,SG,23
331,Naz Reid,MIN,C,23
332,Jalen McDaniels,CHO,SF,25
333,Daniel Gafford,WAS,C,24
334,Chimezie Metu,SAC,PF,25
335,Davon Reed,LAL,SG,27
336,KZ Okpala,SAC,PF,23
337,Wenyen Gabriel,LAL,C,25
338,Thanasis Antetokounmpo,MIL,PF,30
339,Moritz Wagner,ORL,C,25
340,Keita Bates-Diop,SAS,PF,27
341,Oshae Brissett,IND,PF,24
342,Nathan Knight,MIN,C,25
343,Justin Jackson,BOS,SF,27
344,Isaiah Joe,OKC,SG,23
345,Ryan Arcidiacono,POR,PG,28
346,Anthony Gill,WAS,PF,30
347,Javonte Green,CHI,SF,29
348,Gabe Vincent,MIA,PG,26
349,Max Strus,MIA,SF,26
350,Nick Richards,CHO,C,25
351,Lamar Stevens,CLE,SF,25
352,Naji Marshall,NOP,SF,25
353,Paul Reed,PHI,C,23
354,Tre Jones,SAS,PG,23
355,Haywood Highsmith,MIA,PF,26
356,Omer Yurtseven,MIA,C,24
357,Leandro Bolmaro,UTA,SF,22
358,Terry Taylor,IND,PF,23
359,Jared Butler,OKC,PG,22
360,Jericho Sims,NYK,C,24
361,Sam Hauser,BOS,SF,25
362,Kessler Edwards,SAC,SF,22
363,Isaiah Todd,WAS,PF,21
364,Vit Krejci,ATL,PG,22
365,JT Thor,CHO,PF,20
366,Marko Simonovic,CHI,C,23
367,Ayo Dosunmu,CHI,SG,23
368,Isaiah Livers,DET,PF,24
369,Daishen Nix,HOU,PG,20
370,Jason Preston,LAC,PG,23
371,Austin Reaves,LAL,SG,24
372,Jose Alvarado,NOP,PG,24
373,Miles McBride,NYK,PG,22
374,Aaron Wiggins,OKC,SG,24
375,Jock Landale,PHO,C,27
376,Trendon Watford,POR,PF,22
377,Dalano Banton,TOR,PG,23
378,Christian Koloko,TOR,C,22
379,Bryce McGowens,CHO,SG,20
380,Jordan Goodwin,WAS,PG,24
381,Kennedy Chandler,MEM,PG,20
382,Noah Vonleh,BOS,C,27
383,Sandro Mamukelashvili,MIL,C,23
384,Sam Merrill,CLE,SG,26
385,Tyrese Martin,ATL,SG,23
386,Jaden Hardy,DAL,SG,20
387,Ryan Rollins,GSW,PG,20
388,Max Christie,LAL,SG,19
389,Josh Minott,MIN,SF,20
390,Jabari Walker,POR,SF,20
391,Eugene Omoruyi,OKC,SF,25
392,Kris Dunn,UTA,PG,28
393,Admiral Schofield,ORL,PF,25
394,Justin Champagnie,TOR,SF,21
395,Trevelin Queen,IND,SG,25
396,Moses Brown,LAC,C,23
397,Matt Ryan,MIN,SF,25
398,PJ Dozier,SAC,SF,26
399,Cody Zeller,MIA,C,30
400,Meyers Leonard,MIL,C,30
401,Anthony Lamb,GSW,SF,25
402,Michael Carter-Williams,ORL,PG,31
403,Carlik Jones,CHI,PG,25
404,Trevor Keels,NYK,SG,19
405,Dereon Seabron,NOP,SG,22
406,Trent Forrest,ATL,SG,24
407,Mfiondu Kabengele,BOS,PF,25
408,JD Davison,BOS,SG,20
409,Malcolm Hill,CHI,SF,27
410,Mamadi Diakite,CLE,C,26
411,Isaiah Mobley,CLE,PF,23
412,Jack White,DEN,SF,25
413,Buddy Boeheim,DET,SF,23
414,Darius Days,HOU,SF,23
415,Trevor Hudgins,HOU,PG,23
416,Kendall Brown,IND,SG,19
417,Cole Swider,LAL,SF,23
418,Jamal Cain,MIA,PF,23
419,Luka Garza,MIN,C,24
420,Kevon Harris,ORL,SG,25
421,Keon Ellis,SAC,SG,23
422,Neemias Queta,SAC,C,23
423,Dominick Barlow,SAS,PF,19
424,Julian Champagnie,PHI,SF,21
425,Jeff Dowtin,TOR,PG,25
426,Micah Potter,UTA,PF,24
427,Johnny Juzang,UTA,SG,21
428,John Butler,POR,C,20
429,Chima Moneke,SAC,SF,27
430,Facundo Campazzo,DAL,PG,31
431,Orlando Robinson,MIA,C,22
432,Dru Smith,MIA,SG,25
433,Jared Rhoden,DET,SG,23
434,Louis King,PHI,PF,23
435,Jarrett Culver,ATL,SF,23
436,Olivier Sarr,OKC,C,23
437,Alondes Williams,BRK,SG,23
438,Donovan Williams,ATL,SG,21
439,Quenton Jackson,WAS,PG,24
440,Chris Silva,DAL,PF,26
441,Tyler Dorsey,DAL,SF,26
442,Braxton Key,DET,SF,25
443,Jordan Hall,SAS,SF,21
444,Alize Johnson,SAS,PF,26
445,Devon Dotson,WAS,PG,23
446,Mac McClung,PHI,SG,24
447,Xavier Cooks,WAS,PF,27
448,Shaquille Harrison,POR,SG,29
449,Lester Quinones,GSW,SG,22
450,Xavier Moon,LAC,SG,28
451,Jamaree Bouyea,WAS,PG,23
452,Jay Huff,WAS,C,24
453,Skylar Mays,POR,PG,25
454,Frank Jackson,UTA,PG,24
455,Deonte Burton,SAC,PF,29
456,Jarrell Brantley,UTA,PF,26
457,Xavier Sneed,CHO,SF,25
458,Lindell Wigginton,MIL,PG,24
459,Jordan Schakel,WAS,SF,24
460,Stanley Umude,DET,SG,23
461,Jeenathan Williams,POR,SG,23
462,Jay Scrubb,ORL,SG,22
463,Justin Minaya,POR,SF,23
464,Kobi Simmons,CHO,SG,25
465,Gabe York,IND,SG,29
466,RaiQuan Gray,BRK,PF,23
467,Jacob Gilyard,MEM,PG,24
